"","Estado","Registros","Ano","Mês","Região"
"53","Sergipe",12612,"2016","Todos","Todas"
"54","Tocantins",4241,"2016","Todos","Todas"
"55","Acre",3910,"2017","Todos","Todas"
"56","Alagoas",12805,"2017","Todos","Todas"
"57","Amapá",2559,"2017","Todos","Todas"
"58","Amazonas",5361,"2017","Todos","Todas"
"59","Bahia",54483,"2017","Todos","Todas"
"60","Ceará",38529,"2017","Todos","Todas"
"61","Distrito Federal",14509,"2017","Todos","Todas"
"62","Espírito Santo",24523,"2017","Todos","Todas"
"63","Goiás",30772,"2017","Todos","Todas"
"64","Maranhão",6849,"2017","Todos","Todas"
"65","Mato Grosso",17382,"2017","Todos","Todas"
"66","Mato Grosso do Sul",14840,"2017","Todos","Todas"
"67","Minas Gerais",137102,"2017","Todos","Todas"
"68","Pará",11355,"2017","Todos","Todas"
"69","Paraíba",23127,"2017","Todos","Todas"
"70","Paraná",73871,"2017","Todos","Todas"
"71","Pernambuco",59121,"2017","Todos","Todas"
"72","Piauí",5880,"2017","Todos","Todas"
"73","Rio de Janeiro",64629,"2017","Todos","Todas"
"74","Rio Grande do Norte",11789,"2017","Todos","Todas"
"75","Rio Grande do Sul",64324,"2017","Todos","Todas"
"76","Rondônia",7421,"2017","Todos","Todas"
"77","Roraima",1735,"2017","Todos","Todas"
"78","Santa Catarina",36656,"2017","Todos","Todas"
"79","São Paulo",299956,"2017","Todos","Todas"
"80","Sergipe",12846,"2017","Todos","Todas"
"81","Tocantins",5083,"2017","Todos","Todas"
"82","Acre",3989,"2018","Todos","Todas"
"83","Alagoas",15370,"2018","Todos","Todas"
"84","Amapá",2697,"2018","Todos","Todas"
"85","Amazonas",7774,"2018","Todos","Todas"
"86","Bahia",68200,"2018","Todos","Todas"
"87","Ceará",40981,"2018","Todos","Todas"
"88","Distrito Federal",14464,"2018","Todos","Todas"
"89","Espírito Santo",23892,"2018","Todos","Todas"
"90","Goiás",32815,"2018","Todos","Todas"
"91","Maranhão",15125,"2018","Todos","Todas"
"92","Mato Grosso",16481,"2018","Todos","Todas"
"93","Mato Grosso do Sul",15643,"2018","Todos","Todas"
"94","Minas Gerais",130883,"2018","Todos","Todas"
"95","Pará",16952,"2018","Todos","Todas"
"96","Paraíba",25846,"2018","Todos","Todas"
"97","Paraná",74389,"2018","Todos","Todas"
"98","Pernambuco",59624,"2018","Todos","Todas"
"99","Piauí",10643,"2018","Todos","Todas"
"100","Rio de Janeiro",143049,"2018","Todos","Todas"
"101","Rio Grande do Norte",14779,"2018","Todos","Todas"
"102","Rio Grande do Sul",80952,"2018","Todos","Todas"
"103","Rondônia",7800,"2018","Todos","Todas"
"104","Roraima",2363,"2018","Todos","Todas"
"105","Santa Catarina",40564,"2018","Todos","Todas"
"106","São Paulo",303593,"2018","Todos","Todas"
"107","Sergipe",12579,"2018","Todos","Todas"
"108","Tocantins",6020,"2018","Todos","Todas"
"109","Acre",3843,"2019","Todos","Todas"
"110","Alagoas",17687,"2019","Todos","Todas"
"111","Amapá",2969,"2019","Todos","Todas"
"112","Amazonas",14349,"2019","Todos","Todas"
"113","Bahia",76027,"2019","Todos","Todas"
"114","Ceará",41959,"2019","Todos","Todas"
"115","Distrito Federal",14976,"2019","Todos","Todas"
"116","Espírito Santo",25011,"2019","Todos","Todas"
"117","Goiás",34161,"2019","Todos","Todas"
