Estado,Registros,Ano,Mês,Região
Piauí,5385,2020,NA,Todas
Rio Grande do Norte,7227,2020,NA,Todas
Rio Grande do Sul,36977,2020,NA,Todas
Rio de Janeiro,69722,2020,NA,Todas
Rondônia,3521,2020,NA,Todas
Roraima,1150,2020,NA,Todas
Santa Catarina,17695,2020,NA,Todas
Sergipe,5510,2020,NA,Todas
São Paulo,148831,2020,NA,Todas
Tocantins,2649,2020,NA,Todas
